iter	MultiClass
0	1.07162418
1	1.048675308
2	1.026166178
3	1.008225122
4	0.991846524
5	0.9777928521
6	0.9620191422
7	0.9473587148
8	0.9361384314
9	0.9248788584
10	0.9151359807
11	0.9073623428
12	0.9000665584
13	0.8935020511
14	0.888668059
15	0.879178598
16	0.874261019
17	0.867351126
18	0.8617117953
19	0.8577805274
20	0.8531940021
21	0.8496572296
22	0.8462737539
23	0.841248041
24	0.8365206322
25	0.8318811511
26	0.8272110775
27	0.8248131155
28	0.8212510732
29	0.8197420174
30	0.8175446522
31	0.8156095527
32	0.8137196994
33	0.8121444248
34	0.808202067
35	0.803408643
36	0.8020016004
37	0.800011686
38	0.7976060642
39	0.7946131526
40	0.7931796333
41	0.7911971172
42	0.7896817936
43	0.7887299542
44	0.7865104097
45	0.7854895249
46	0.7816601349
47	0.7792781541
48	0.7759611846
49	0.7752011723
50	0.7744917323
51	0.7717758412
52	0.7698344795
53	0.7686467449
54	0.7671752496
55	0.7643530267
56	0.7631487868
57	0.7606888834
58	0.759824569
59	0.7583567859
60	0.7575966086
61	0.7564086078
62	0.7549439234
63	0.75331929
64	0.7520931592
65	0.7511856896
66	0.7501649034
67	0.7497123022
68	0.7490166876
69	0.7484672685
70	0.7469367492
71	0.7457733483
72	0.744116975
73	0.743675045
74	0.7424683311
75	0.7419062798
76	0.7405552401
77	0.73961679
78	0.7392008159
79	0.7385511805
80	0.7359629502
81	0.7350095695
82	0.7336165871
83	0.7329218068
84	0.731455646
85	0.7307262015
86	0.730119907
87	0.7297083311
88	0.7291817511
89	0.7287249485
90	0.7277031938
91	0.7267495164
92	0.7258855827
93	0.7253582788
94	0.724102393
95	0.722955554
96	0.7226414129
97	0.7221316714
98	0.7206978244
99	0.7197232157
