iter	Passed	Remaining
0	235	23304
1	242	11898
2	249	8057
3	255	6139
4	263	5015
5	272	4274
6	278	3702
7	285	3277
8	290	2937
9	295	2661
10	300	2434
11	305	2243
12	310	2079
13	315	1940
14	320	1817
15	326	1712
16	331	1617
17	336	1531
18	341	1455
19	347	1390
20	355	1336
21	361	1282
22	369	1236
23	377	1194
24	385	1156
25	391	1113
26	399	1079
27	405	1041
28	411	1007
29	418	975
30	424	944
31	430	914
32	436	886
33	443	861
34	450	836
35	457	813
36	465	792
37	473	771
38	479	750
39	486	729
40	492	709
41	500	690
42	507	672
43	514	654
44	521	637
45	528	620
46	536	605
47	545	590
48	551	573
49	556	556
50	562	540
51	568	524
52	574	509
53	580	494
54	587	480
55	593	466
56	599	452
57	605	438
58	611	425
59	617	411
60	625	399
61	632	387
62	639	375
63	646	363
64	653	351
65	659	339
66	668	329
67	676	318
68	683	306
69	689	295
70	696	284
71	704	273
72	713	263
73	720	253
74	728	242
75	735	232
76	743	221
77	750	211
78	756	200
79	762	190
80	769	180
81	776	170
82	785	160
83	795	151
84	804	141
85	813	132
86	822	122
87	829	113
88	837	103
89	844	93
90	850	84
91	860	74
92	867	65
93	874	55
94	881	46
95	888	37
96	894	27
97	901	18
98	908	9
99	915	0
